EntryTime,Type,EntryPrice,SL,TP,Risk,WindowType,WindowHigh,WindowLow,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Is_Consolidating,Is_Tight_Range,Consolidation_Score,Trend_Score,EMA_9_Above_21,EMA_21_Above_50,Price_Above_EMA200_1H,ExitTime,ExitPrice,P&L,R_Multiple,Status,Duration_Minutes,RangeSize,RangeSizePct,EntryHour,EntryDayOfWeek
2025-10-27 03:30:00,BUY,4076.85,4058.33,4113.889999999999,18.519999999999985,300,4072.49,4058.33,4069.852886599213,4073.255363537821,4078.320316557815,4081.4849875003097,7.87113927315376,0.1930691409581849,0.8065328987331122,0,0,0.0,0.0,0,0,0,2025-10-27 07:05:00,4058.33,-18.519999999999985,-1.0,SL_HIT,215.0,14.159999999999854,0.34732698038926757,3,0
2025-10-27 10:20:00,SELL,4069.1,4079.77,4047.76,10.670000000000073,1000,4079.77,4069.97,4074.480834046095,4076.238081676405,4075.960235963514,4080.980198620136,4.346811194592827,0.1068248800617538,1.0084833218435454,0,1,0.5,0.3333333333333333,0,1,0,2025-10-27 11:50:00,4047.76,21.340000000000146,2.0,TP_HIT,90.0,9.800000000000182,0.2408394976776236,10,0
2025-10-27 16:45:00,SELL,4018.39,4038.86,3977.45,20.47000000000025,1630,4038.86,4018.55,4031.0593177037913,4033.910630732533,4038.023306486801,4078.3166404400304,9.526966244492389,0.2370841616789906,1.3761372897392707,0,0,0.0,0.0,0,0,0,2025-10-27 18:00:00,3977.45,40.94000000000051,2.0,TP_HIT,75.0,20.309999999999945,0.5054263025739151,16,0
2025-10-28 03:15:00,SELL,3980.98,3998.85,3945.24,17.86999999999989,300,3998.85,3985.28,3991.129992153834,3992.409593167029,3993.496063995381,4070.377105826219,5.384433997972677,0.1352539826367547,1.1480257402515222,0,0,0.0,0.0,0,0,0,2025-10-28 03:40:00,3998.85,-17.86999999999989,-1.0,SL_HIT,25.0,13.569999999999709,0.34087084084822605,3,1
2025-10-28 10:20:00,SELL,3933.58,3948.51,3903.7199999999993,14.930000000000293,1000,3948.51,3936.37,3942.62308961163,3950.493946535478,3964.099630593301,4063.669190882221,6.950638750457292,0.1767000734815941,1.094017634029793,0,0,0.0,0.0,0,0,0,2025-10-28 11:40:00,3903.7199999999993,29.860000000000586,2.0,TP_HIT,80.0,12.140000000000327,0.30862471336544134,10,1
2025-10-28 16:50:00,BUY,3934.04,3914.83,3972.46,19.21000000000004,1630,3933.34,3914.83,3927.7367695306007,3925.008881356413,3923.322132720397,4055.149281508269,7.865355410069575,0.1999307432072265,1.2409770490024377,0,0,0.0,0.6666666666666666,1,1,0,2025-10-29 03:35:00,3972.46,38.42000000000007,2.0,TP_HIT,645.0,18.51000000000022,0.4705086882695707,16,1
2025-10-29 03:40:00,BUY,3981.55,3958.99,4026.670000000001,22.5600000000004,300,3968.83,3958.99,3970.4087112176408,3962.722435961865,3956.799083698489,4045.8775842979258,6.233823539447705,0.1565677572665847,0.9863404503657602,0,0,0.0,0.6666666666666666,1,1,0,2025-10-29 05:30:00,3958.99,-22.5600000000004,-1.0,SL_HIT,110.0,9.840000000000146,0.24713993294069259,3,2
2025-10-29 10:50:00,BUY,3998.05,3974.98,4044.190000000001,23.070000000000164,1000,3997.08,3974.98,3993.395141427389,3985.986770594644,3976.104516045434,4040.781301785125,5.207884987929657,0.1302606267537839,0.9810544357113478,0,0,0.0,0.6666666666666666,1,1,0,2025-10-29 21:35:00,3974.98,-23.070000000000164,-1.0,SL_HIT,645.0,22.09999999999991,0.5527694751191182,10,2
2025-10-29 21:40:00,SELL,3953.93,4019.17,3823.45,65.24000000000024,1630,4019.17,4002.36,3974.723327791647,3984.195878020298,3993.83558971164,4037.207310232758,12.18599280140607,0.30819950786701,1.900942118828325,0,0,0.0,0.0,0,0,0,2025-10-30 22:00:00,4019.17,-65.24000000000024,-1.0,SL_HIT,1460.0,16.809999999999945,0.42514662626804084,21,2
2025-10-30 22:05:00,BUY,4024.96,3963.13,4148.62,61.82999999999993,1630,3978.66,3963.13,4016.207880735023,4011.233966860749,4004.3694550429886,4023.7243302939737,4.762201895546712,0.1183167508632809,1.0012133171667843,0,0,0.0,1.0,1,1,1,2025-11-03 02:15:00,3963.13,-61.82999999999993,-1.0,SL_HIT,4570.0,15.529999999999745,0.3858423437748386,22,3
2025-11-03 02:20:00,SELL,3971.36,4028.48,3857.12,57.11999999999989,1630,4028.48,4012.99,3975.846346059595,3983.930322275059,3991.605480199944,4019.933424494863,7.349629734036153,0.1850658145833204,1.3609068048968431,0,0,0.0,0.0,0,0,0,2025-11-03 17:00:00,4028.48,-57.11999999999989,-1.0,SL_HIT,880.0,15.490000000000236,0.390042705773343,2,0
2025-11-03 17:05:00,BUY,4025.83,4001.66,4074.17,24.170000000000076,1630,4013.47,4001.66,4020.621856240096,4017.2723097129738,4013.564333472186,4018.6416662536753,5.958453004234222,0.1480055790789532,1.2486868294953604,0,0,0.0,1.0,1,1,1,2025-11-03 18:15:00,4001.66,-24.170000000000076,-1.0,SL_HIT,70.0,11.809999999999945,0.2933556558523322,17,0
2025-11-04 03:30:00,SELL,3983.43,3992.68,3964.93,9.25,300,3992.68,3984.67,3987.1222165921135,3989.9533636580863,3995.1668688650543,4017.092891271817,5.618508034634852,0.1410469880137181,1.1002845241648744,0,0,0.0,0.0,0,0,0,2025-11-04 05:25:00,3992.68,-9.25,-1.0,SL_HIT,115.0,8.009999999999764,0.20108298627062016,3,1
2025-11-04 10:25:00,BUY,3999.84,3991.56,4016.400000000001,8.2800000000002,1000,3999.33,3991.56,3994.978259105615,3991.45391666076,3988.250315693319,4015.113149910436,4.7644520276290825,0.1191160653333404,1.0193308064017337,0,0,0.0,0.6666666666666666,1,1,0,2025-11-04 11:10:00,3991.56,-8.2800000000002,-1.0,SL_HIT,45.0,7.769999999999982,0.19425777031081198,10,1
2025-11-04 16:55:00,BUY,3956.85,3928.68,4013.19,28.170000000000076,1630,3956.53,3928.68,3950.6681402436425,3961.940791726472,3975.00454538331,4013.2229340417166,10.070131112666422,0.2544986823525385,1.4494157079610712,0,0,0.0,0.0,0,0,0,2025-11-06 10:15:00,4013.19,56.34000000000015,2.0,TP_HIT,2480.0,27.850000000000364,0.7038427031603514,16,1
