WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode,RSI_14,RSI_21,StochK_14,StochD_14,ATR14,CandleBody,CandleRange,BodyPct,UpperWickPct,LowerWickPct,CandleLabel,RSI_Diff,WinFlag
2025-07-01_0300,300,BREAKOUT,BUY,2025-07-01 03:35:00,2025-07-01 05:50:00,22687.03,22670.4,22670.4,22720.29,16.62999999999738,-16.62999999999738,-1.0,SL_HIT,0.25,0.6129999999997381,0.0276791872820218,16.37999999999738,22678.59,8.43999999999869,1.8135403507177816,0,9.03205709953701,22679.80633546568,22671.877525438584,22675.14374133736,23384.770723465062,22648.52179660529,9.03205709953701,0.0398115447440101,0.9781984627520972,0.5,0.6666666666666666,0,1,0,1,300,22686.78,22670.4,baseline_breakout,62.49171017056696,32.12321061010938,96.05581395348352,89.77364341084949,9.03205709953701,6.129999999997381,10.0,0.6129999999997381,0.15,0.2370000000002619,bullish_full,30.36849956045758,0
2025-07-02_1000,1000,BREAKOUT,SELL,2025-07-02 10:15:00,2025-07-02 12:00:00,22540.53,22489.29,22566.15,22489.29,25.62000000000262,51.24000000000524,2.0,TP_HIT,7.870000000002619,0.8659558263522382,0.7350248822587403,17.75,22557.275,-16.74500000000262,1.657775306237395,0,10.707120520625118,22554.363700361995,22554.269614931964,22545.76653284921,22558.373901882347,22625.235236220444,10.707120520625118,0.0475016360335143,1.193290361403334,0.5,0.6666666666666666,0,1,0,0,1000,22566.15,22548.4,baseline_breakout,39.369786517586526,45.299367875608965,5.11111111110141,34.06799221093949,10.707120520625118,11.37000000000262,13.12999999999738,0.8659558263522382,0.0289413556738352,0.1051028179739265,bearish_full,-5.929581358022439,1
2025-07-03_0300,300,BREAKOUT,BUY,2025-07-03 04:20:00,2025-07-03 05:10:00,22651.78,22631.28,22631.28,22692.78,20.5,-20.5,-1.0,SL_HIT,5.25,0.8,0.7908121203707499,15.25,22638.905,12.875,2.29712092107694,1,6.638744987290643,22643.199911640066,22641.078113492345,22635.57428989948,22593.97066153266,22617.71260816061,6.638744987290643,0.0293078291740898,1.1483505308224442,0.5,1.0,0,1,1,1,300,22646.53,22631.28,baseline_breakout,64.33778157213004,61.24934827714607,100.0,63.08889128167383,6.638744987290643,9.0,11.25,0.8,0.0,0.2,bullish_full,3.088433294983972,0
2025-07-03_1000,1000,BREAKOUT,BUY,2025-07-03 10:35:00,2025-07-03 11:40:00,22693.03,22670.53,22670.53,22738.03,22.5,-22.5,-1.0,SL_HIT,5.379999999997381,0.8333333333333334,0.5795897210459189,17.12000000000262,22679.09,13.93999999999869,1.844344985931688,1,9.282428249915672,22681.45360584857,22675.15058470055,22665.819428551466,22629.02635484824,22620.321703866462,9.282428249915672,0.0409043140114637,1.1171129424432766,0.0,1.0,0,0,1,1,1000,22687.65,22670.53,baseline_breakout,67.84793734147065,64.9089880664762,94.5945945945946,77.2493766493688,9.282428249915672,12.5,15.0,0.8333333333333334,0.1,0.0666666666666666,bullish_full,2.938949274994457,0
2025-07-22_0300,300,BREAKOUT,BUY,2025-07-22 03:20:00,2025-07-22 03:50:00,23201.65,23188.15,23188.15,23228.65,13.5,-13.5,-1.0,SL_HIT,2.87000000000262,0.6730434782613252,0.5135480648326191,10.62999999999738,23193.465,8.18500000000131,1.9020961425659968,1,5.588571346166089,23194.5273917889,23191.85989119601,23182.18650221649,23037.936406213623,22813.856889848583,5.588571346166089,0.0240869565145844,1.070014916628608,0.5,1.0,0,1,1,1,300,23198.78,23188.15,baseline_breakout,62.94573785032886,60.062970697116064,94.84536082474226,94.55600452727322,5.588571346166089,3.8700000000026193,5.75,0.6730434782613252,0.217391304347826,0.1095652173908488,bullish_full,2.8827671532127965,0
2025-07-24_1000,1000,BREAKOUT,BUY,2025-07-24 10:55:00,2025-07-24 11:00:00,23220.99,23204.11,23204.11,23254.750000000004,16.88000000000102,-16.88000000000102,-1.0,SL_HIT,6.5,0.7854077253219152,0.8648976833265462,10.38000000000102,23209.300000000003,11.68999999999869,1.3811750696816043,1,7.515339820312474,23213.189876942568,23215.730620878847,23223.45630599118,23198.1628009504,22947.358672135604,7.515339820312474,0.0323644246878038,1.0742231129437911,0.0,0.3333333333333333,0,0,1,1,1000,23214.49,23204.11,baseline_breakout,53.54126331817008,49.57198957388388,97.1231300345226,59.22897608470465,7.515339820312474,9.150000000001455,11.650000000001455,0.7854077253219152,0.0429184549356169,0.1716738197424678,bullish_full,3.969273744286191,0
2025-07-30_0300,300,BREAKOUT,BUY,2025-07-30 05:05:00,2025-07-30 11:30:00,23356.4,23334.28,23334.28,23400.640000000007,22.12000000000262,-22.12000000000262,-1.0,SL_HIT,4.870000000002619,1.0,0.8751369943969877,17.25,23342.905,13.49500000000262,3.0998178959630223,0,5.564843025929087,23348.66887673233,23345.396344872766,23341.227233752536,23363.184735802333,23178.002910978368,5.564843025929087,0.0238257737747644,0.932349959801714,0.0,1.0,0,0,0,1,300,23351.53,23334.28,baseline_breakout,67.43367842776078,62.06601319893634,100.0,88.26366559486108,5.564843025929087,5.620000000002619,5.620000000002619,1.0,0.0,0.0,marubozu,5.367665228824443,0
2025-07-31_0300,300,BREAKOUT,BUY,2025-07-31 03:15:00,2025-07-31 05:55:00,23603.28,23653.78,23578.03,23653.78,25.25,50.5,2.0,TP_HIT,11.87999999999738,0.9119999999998768,1.1804951909925858,13.37000000000262,23584.715,18.56499999999869,1.3285539312775627,1,10.063573397540416,23592.727561291205,23582.79643138645,23532.135539482977,23429.38909244001,23221.44903846431,10.063573397540416,0.0426363344312333,0.8929788056377684,0.5,1.0,0,1,1,1,300,23591.4,23578.03,baseline_breakout,64.8599409063578,64.58635209599741,92.6605504587156,42.81345565749234,10.063573397540416,19.37999999999738,21.25,0.9119999999998768,0.0880000000001232,0.0,marubozu,0.273588810360394,1
2025-07-31_1000,1000,BREAKOUT,BUY,2025-07-31 10:20:00,2025-07-31 10:40:00,23664.78,23695.78,23649.28,23695.78,15.5,31.0,2.0,TP_HIT,1.25,0.9557142857140988,0.1431301721333434,14.25,23656.405,8.375,1.6316839623201145,1,8.733308857027511,23657.92917261232,23657.76667602331,23652.52266798153,23556.63475210248,23251.32371093765,8.733308857027511,0.036904246973889,1.1721215861389396,0.0,1.0,0,0,1,1,1000,23663.53,23649.28,baseline_breakout,55.9711066687995,55.38829644170635,97.21348314605564,65.98058495810514,8.733308857027511,13.37999999999738,14.0,0.9557142857140988,0.0442857142859013,0.0,marubozu,0.5828102270931481,1
2025-08-08_1000,1000,BREAKOUT,BUY,2025-08-08 10:15:00,2025-08-08 15:20:00,23443.97,23424.22,23424.22,23483.47,19.75,-19.75,-1.0,SL_HIT,4.5,0.8315018315021244,0.4178534833403779,15.25,23431.845,12.125,1.4160590268757252,1,10.76932508501876,23436.174732210744,23436.451012586484,23440.95003339348,23426.196527333334,23230.2990884778,10.76932508501876,0.0459364394555135,1.0000541084779024,0.0,0.3333333333333333,0,0,1,1,1000,23439.47,23424.22,baseline_breakout,55.319729583781104,52.168601588449405,75.32467532467533,55.98141351402029,10.76932508501876,13.62000000000262,16.37999999999738,0.8315018315021244,0.1452991452990086,0.023199023198867,bullish_full,3.151127995331698,0
2025-08-14_0300,300,BREAKOUT,SELL,2025-08-14 03:40:00,2025-08-14 15:00:00,23840.33,23863.33,23863.33,23794.33,23.0,-23.0,-1.0,SL_HIT,8.0,0.7663043478259473,0.9868165006166104,15.0,23855.83,-15.5,1.8502809386561443,0,8.106877008036667,23853.107496963865,23852.381519515715,23846.603625802363,23845.254049506588,23505.968308251697,8.106877008036667,0.0340048858721195,1.1828156169487511,0.5,1.0,0,1,0,1,300,23863.33,23848.33,baseline_breakout,40.77808960787655,45.91431001286113,3.84615384615718,22.067523211839926,8.106877008036667,9.86999999999898,12.88000000000102,0.7663043478259473,0.1459627329193222,0.0877329192547305,bearish_full,-5.136220404984584,0
2025-09-10_1000,1000,BREAKOUT,SELL,2025-09-10 11:00:00,2025-09-10 14:40:00,23900.78,23924.53,23924.53,23853.28,23.75,-23.75,-1.0,SL_HIT,7.120000000002619,0.64984472049723,0.8374439552034626,16.62999999999738,23916.215,-15.43500000000131,1.9559962043576216,1,8.502061488129995,23909.567839103383,23908.55348803684,23900.28685083,23861.77261622911,23623.244187861343,8.502061488129995,0.0355723180922547,1.1587911287794663,0.0,1.0,0,0,1,1,1000,23924.53,23907.9,baseline_breakout,43.11686365909912,48.33520722923007,7.335154116260526,27.79584650772253,8.502061488129995,8.37000000000262,12.87999999999738,0.64984472049723,0.2041925465836891,0.145962732919081,bearish_full,-5.218343570130948,0
2025-09-16_0300,300,BREAKOUT,BUY,2025-09-16 05:35:00,2025-09-16 11:45:00,24315.73,24383.39,24281.9,24383.39,33.82999999999811,67.65999999999622,2.0,TP_HIT,24.950000000000728,0.8116385911179506,4.006802277395603,8.87999999999738,24286.34,29.38999999999941,1.4260683055415395,1,6.226910706514342,24307.55346623042,24300.293232471813,24290.203654763587,24234.010458863784,23878.802990960827,6.226910706514342,0.0256085698702623,1.2264256127682882,0.0,1.0,0,0,1,1,300,24290.78,24281.9,baseline_breakout,71.85926864946657,68.78049364486714,74.3493348756522,87.55953130639028,6.226910706514342,5.299999999999272,6.529999999998836,0.8116385911179506,0.0,0.1883614088820494,bearish_full,3.078775004599436,1
2025-09-18_1000,1000,BREAKOUT,BUY,2025-09-18 10:15:00,2025-09-18 10:25:00,24400.75,24369.63,24369.63,24462.99,31.11999999999898,-31.11999999999898,-1.0,SL_HIT,16.11999999999898,0.8233532934131378,1.368922330065576,15.0,24377.13,23.61999999999898,1.2738111011777256,1,11.7756863526558,24376.372251584704,24370.644409169432,24366.82105831897,24313.3058658182,24044.023148486234,11.7756863526558,0.0482595262549544,1.2229254517043922,0.0,1.0,0,0,1,1,1000,24384.63,24369.63,baseline_breakout,71.10947400755401,65.79840808453318,99.03816793892976,90.7905004240876,11.7756863526558,19.25,23.38000000000102,0.8233532934131378,0.0269461077844735,0.1497005988023886,bullish_full,5.311065923020834,0
2025-10-06_0300,300,BREAKOUT,SELL,2025-10-06 03:20:00,2025-10-06 04:35:00,24853.85,24869.35,24869.35,24822.85,15.5,-15.5,-1.0,SL_HIT,0.8800000000010186,0.9446522064324592,0.0848060614674603,14.61999999999898,24862.04,-8.190000000002328,1.4089370666508514,0,10.376616774482208,24862.43549776682,24855.081305021897,24840.461125761456,24870.431035403428,24659.504214679324,10.376616774482208,0.0417505407592071,1.0896152511787482,0.5,1.0,0,1,0,1,300,24869.35,24854.73,baseline_breakout,52.67177734303095,54.93681243881723,6.557377049180328,35.934426229509185,10.376616774482208,12.63000000000102,13.36999999999898,0.9446522064324592,0.0276738967837703,0.0276738967837703,marubozu,-2.2650350957862813,0
2025-10-06_1000,1000,BREAKOUT,SELL,2025-10-06 10:20:00,2025-10-06 10:40:00,24883.48,24849.74,24900.35,24849.74,16.86999999999898,33.73999999999796,2.0,TP_HIT,3.869999999998981,0.7565568258238582,0.453327986741718,13.0,24893.85,-10.36999999999898,1.522807190605655,1,8.536865389261528,24892.0282111134,24890.84124526739,24886.248692530808,24877.50801409964,24674.67809001397,8.536865389261528,0.034307361306624,1.2302314438426352,0.0,1.0,0,0,1,1,1000,24900.35,24887.35,baseline_breakout,42.94429625179842,46.75543785513246,10.942528735636866,51.577445884278575,8.536865389261528,11.25,14.86999999999898,0.7565568258238582,0.1761936785473544,0.0672494956287873,bearish_full,-3.8111416033340433,1
2025-10-08_0300,300,BREAKOUT,BUY,2025-10-08 03:35:00,2025-10-08 05:20:00,24847.48,24885.98,24828.23,24885.98,19.25,38.5,2.0,TP_HIT,1.6300000000010186,0.6663376110562015,0.1923810436472851,17.61999999999898,24837.04,10.43999999999869,2.079603674271687,0,8.47276825771613,24842.235624831617,24846.29160089469,24852.141410435248,24894.10201263617,24759.53892526268,8.47276825771613,0.0340991048497317,0.9848405759547928,0.0,0.3333333333333333,0,0,0,1,300,24845.85,24828.23,baseline_breakout,49.63367878631549,48.49943872497204,91.66666666666666,67.39999999999834,8.47276825771613,6.75,10.13000000000102,0.6663376110562015,0.1727541954590152,0.1609081934847833,bullish_full,1.134240061343455,1
2025-10-29_1000,1000,BREAKOUT,BUY,2025-10-29 10:35:00,2025-10-29 11:40:00,26150.1,26124.1,26124.1,26202.1,26.0,-26.0,-1.0,SL_HIT,9.5,0.7731249999999363,0.8854013676560434,16.5,26132.35,17.75,1.5378023754026018,1,10.72959716015541,26136.467471653294,26131.00620397009,26116.353862783984,26038.503934340097,25362.868948284347,10.72959716015541,0.0410308073780039,1.219092404482352,0.0,1.0,0,0,1,1,1000,26140.6,26124.1,baseline_breakout,64.79501629639984,63.81451666251596,94.85294117647058,71.0357242797547,10.72959716015541,12.36999999999898,16.0,0.7731249999999363,0.109375,0.1175000000000636,bullish_full,0.9804996338838804,0
